,"City, Country",Cloudiness,Humidity,Lat,Lon,Max Temp,Wind Speed
420,"Royan, FR",0,72,45.62,-1.03,60.8,2.24
421,"Dondo, MZ",40,88,-19.62,34.74,75.2,2.15
422,"Montepuez, MZ",0,82,-13.13,39.0,70.63,8.86
423,"Kalundborg, DK",0,81,55.68,11.1,44.6,4.7
424,"Zemio, CF",92,87,5.02,25.13,73.78,4.61
425,"Soyo, AO",20,90,-6.13,12.37,79.09,3.71
426,"Brae, GB",48,93,60.4,-1.35,44.6,24.16
427,"Theunissen, ZA",0,81,-28.4,26.71,46.11,2.93
428,"Antalaha, MG",92,100,-14.9,50.28,76.44,5.73
429,"Santa Isabel do Rio Negro, BR",44,96,-0.41,-65.02,74.77,3.27
430,"Vaini, IN",0,85,15.34,74.49,67.93,2.26
431,"Soure, PT",40,93,40.06,-8.63,59.0,1.12
432,"Mahibadhoo, MV",88,100,3.78,72.97,83.91,6.85
433,"Culleredo, ES",48,93,43.29,-8.39,55.4,5.82
434,"Singarayakonda, IN",20,74,15.25,80.02,79.09,5.73
435,"Bintulu, MY",75,94,3.17,113.03,78.8,2.24
436,"Praya, ID",20,88,-8.71,116.27,80.6,9.98
437,"Diofior, SN",0,60,14.19,-16.66,75.2,6.93
438,"Presidencia Roque Saenz Pena, AR",0,85,-26.79,-60.44,75.85,4.38
439,"Okhotsk, RU",64,83,59.36,143.24,31.89,3.71
440,"East London, ZA",0,100,-33.02,27.91,72.88,11.21
441,"Nanga Eboko, CM",48,99,4.68,12.37,69.91,4.94
442,"Araouane, ML",0,20,18.9,-3.53,74.73,7.63
443,"Talnakh, RU",56,89,69.49,88.39,7.45,9.42
444,"Impfondo, CD",0,96,1.62,18.06,71.98,2.04
445,"Youghal, IE",75,93,51.95,-7.85,48.2,9.17
446,"Sechura, PE",0,70,-5.56,-80.82,73.51,11.21
447,"Bougouni, ML",56,80,11.42,-7.49,74.73,7.63
448,"Marystown, CA",92,88,47.17,-55.16,36.66,20.04
449,"Irece, BR",8,74,-11.3,-41.86,71.49,8.75
450,"Birao, CF",0,47,10.3,22.78,69.78,2.71
451,"Saravena, CO",12,93,6.96,-71.88,70.99,1.48
452,"Bibiani, GH",24,88,6.45,-2.31,76.53,6.96
453,"Flinders, AU",32,64,-34.58,150.85,68.0,3.36
454,"Kilindoni, TZ",76,100,-7.91,39.67,79.23,11.43
455,"Benghazi, LY",0,93,32.12,20.07,60.8,6.93
456,"Morros, BR",75,94,-2.87,-44.04,77.0,4.7
457,"Rajec, SK",0,81,49.09,18.64,50.0,3.36
458,"Kahului, US",40,65,20.89,-156.47,82.4,17.22
459,"Somerset, US",1,81,37.09,-84.6,68.0,2.71
460,"Buraydah, SA",32,29,26.33,43.97,77.0,9.17
461,"Along, IN",100,97,28.17,94.8,61.09,0.81
462,"Kalmunai, LK",24,100,7.42,81.82,75.49,3.04
463,"Saint-Louis, CH",0,76,47.59,7.56,53.6,3.36
464,"Waddan, LY",12,54,29.16,16.14,61.09,11.65
465,"Saint-Francois, FR",0,76,46.42,3.91,53.6,3.36
466,"Gavle, SE",0,63,60.67,17.14,43.63,10.31
467,"Igarka, RU",8,73,67.47,86.57,0.52,8.41
468,"Dhidhdhoo, MV",12,98,6.88,73.1,86.16,7.74
469,"Sur, OM",0,98,22.57,59.53,77.34,4.05
470,"Broome, GB",92,76,52.47,1.45,57.2,6.93
471,"Lekoni, GA",36,85,-1.58,14.26,72.21,6.96
472,"Coquimbo, CL",90,93,-29.95,-71.34,55.4,2.24
473,"Agadir, MA",0,76,30.42,-9.58,55.4,4.7
474,"Ouallam, NE",0,16,14.32,2.08,78.73,11.32
475,"Charlestown, US",1,49,41.38,-71.64,55.4,3.36
476,"Poum, MK",0,83,41.28,20.71,41.11,2.59
477,"Quatre Cocos, MU",75,88,-20.21,57.76,77.0,11.41
478,"Yangambi, CD",24,97,0.77,24.47,74.23,2.15
479,"Ambanja, MG",36,96,-13.68,48.45,69.06,2.26
480,"Careiro da Varzea, BR",20,83,-3.2,-59.81,80.6,5.82
481,"Moba, CD",68,100,-7.04,29.77,66.58,2.71
482,"Amahai, ID",80,100,-3.31,129.0,79.9,3.49
483,"Sao Felix do Xingu, BR",56,100,-6.64,-51.99,72.39,1.7
484,"Colesberg, ZA",0,67,-30.72,25.1,40.21,2.71
485,"Abong Mbang, CM",24,93,3.98,13.18,69.24,2.71
486,"Cabinda, AO",64,98,-5.56,12.19,81.97,7.18
487,"Onverwacht, SR",20,94,5.59,-55.2,78.8,3.36
488,"Zwedru, LR",80,91,6.07,-8.13,75.85,5.39
489,"Beppu, JP",75,82,33.3,131.49,62.6,5.82
490,"Laguna, MX",75,18,27.52,-110.01,84.2,6.93
491,"Manzanillo, CU",48,100,20.34,-77.12,80.53,11.99
492,"Kuching, MY",75,88,1.56,110.34,80.6,2.04
493,"Le Pradet, FR",0,93,46.44,1.83,57.2,4.7
494,"Mahebourg, MU",75,88,-20.41,57.7,77.0,11.41
495,"Kulachi, PK",0,79,31.93,70.46,49.53,2.71
496,"Auki, NG",24,49,12.18,6.51,84.85,10.98
497,"Port Keats, AU",0,75,-14.25,129.55,82.74,10.87
498,"Ler, NO",75,93,63.2,10.3,41.0,9.17
499,"Maues, BR",36,97,-3.38,-57.72,75.81,1.36
500,"Svencioneliai, LT",0,67,55.17,26.0,44.76,13.67
501,"Tefe, BR",0,89,-3.35,-64.71,78.37,3.71
502,"Mocuba, MZ",0,91,-16.84,36.99,68.02,3.94
503,"Indramayu, ID",68,92,-4.05,103.78,71.94,1.36
504,"Kenora, CA",1,52,49.76,-94.48,55.4,3.36
505,"Barentu, ER",88,40,15.11,37.59,79.41,2.15
506,"Faratsiho, MG",0,93,-19.41,46.95,53.58,2.71
507,"Kalianget, ID",20,100,-7.74,113.68,77.56,3.94
508,"Stromness, CA",1,60,42.87,-79.55,50.0,8.97
509,"Puerto Leguizamo, CO",24,97,-0.19,-74.78,73.42,2.26
510,"Ilhabela, BR",0,99,-23.78,-45.36,74.91,11.77
511,"Mahanoro, MG",20,100,-19.9,48.8,70.27,2.71
512,"Tikamgarh, IN",0,28,24.74,78.83,65.86,4.83
513,"Llangefni, GB",80,87,53.26,-4.31,51.8,8.05
514,"Hasaki, JP",0,56,35.73,140.83,73.4,3.36
515,"Bumba, CD",20,90,2.18,22.47,74.91,2.93
516,"Mangalore, IN",40,88,12.87,74.84,82.4,3.36
517,"Benguela, AO",0,100,-12.58,13.4,77.34,3.15
518,"Riachao do Dantas, BR",20,88,-11.07,-37.73,70.41,6.96
519,"Kutum, SD",0,17,14.2,24.66,63.48,8.19
520,"Cuenca, ES",56,53,40.07,-2.13,54.7,8.97
521,"Koutiala, ML",56,92,12.39,-5.46,71.89,6.85
522,"Cape Coast, GH",8,96,5.11,-1.24,74.73,4.16
523,"Purpe, RU",0,62,64.48,76.69,0.61,9.08
524,"Dmytrivka, UA",0,50,50.46,30.17,55.4,11.18
525,"Vila do Maio, CV",75,72,15.13,-23.22,68.0,12.75
526,"Inongo, CD",48,93,-1.93,18.29,74.77,1.92
527,"Arlit, NE",0,21,18.74,7.39,72.07,6.29
528,"Cartagena del Chaira, CO",8,94,1.33,-74.84,74.32,2.26
529,"Santa Marta, CO",40,70,11.24,-74.21,86.0,23.04
530,"Minna, NG",32,79,9.62,6.55,79.09,6.06
531,"Ranot, TH",88,83,7.78,100.32,82.11,5.5
532,"Capitao Poco, BR",92,97,-1.75,-47.06,74.68,5.06
533,"Gondar, PT",0,87,41.82,-8.78,60.8,3.36
534,"Kultayevo, RU",0,58,57.89,55.94,30.2,11.18
535,"Muli, IN",0,75,22.62,71.45,72.48,9.31
536,"Podor, MR",0,41,16.65,-14.96,77.0,4.7
537,"Airai, TL",0,65,-8.93,125.41,76.26,2.37
538,"Kpandae, GH",24,69,8.46,-0.01,83.77,8.75
539,"Mtwara, TZ",44,100,-10.28,40.18,79.14,12.1
540,"Gulfport, US",40,83,30.37,-89.09,69.8,11.41
541,"Dingle, PH",24,79,11.0,122.67,80.98,8.52
542,"Villarrobledo, ES",36,51,39.27,-2.6,54.88,12.55
543,"Likasi, CD",0,78,-10.99,26.74,62.35,7.74
544,"Sarakhs, TM",80,48,36.54,61.16,64.4,2.24
545,"Karibib, NA",0,87,-21.94,15.86,54.97,2.59
546,"Kamina, CD",0,80,-8.74,25.0,64.15,3.38
547,"Turukhansk, RU",68,91,65.8,87.96,10.69,6.4
548,"Kozluk, TR",75,81,38.17,41.5,51.8,4.7
549,"Uchiza, PE",88,99,-8.46,-76.46,67.53,2.15
550,"Ati, TD",0,38,13.21,18.34,71.31,3.6
551,"Gobabis, NA",0,46,-22.45,18.97,51.37,5.39
552,"Kantang, TH",20,94,7.42,99.52,78.8,2.24
553,"Buriti, BR",76,80,-28.3,-54.4,74.86,1.14
554,"Najran, SA",75,47,17.54,44.22,78.8,2.24
555,"Manokwari, ID",48,100,-0.87,134.08,81.88,6.4
556,"Masindi, UG",76,94,1.69,31.72,67.12,4.94
557,"Tchollire, CM",48,75,8.4,14.17,78.1,2.93
558,"Kericho, KE",0,100,-0.37,35.28,66.2,3.36
559,"Mumford, GH",0,95,5.26,-0.76,77.56,7.85
560,"Nanortalik, GL",56,89,60.14,-45.24,34.41,14.67
561,"Santa Cruz, US",1,28,36.97,-122.03,82.4,5.82
562,"Belyy Yar, RU",0,69,53.6,91.39,35.6,2.24
563,"San Luis, AR",20,86,-33.3,-66.34,65.05,3.15
564,"Camocim, BR",76,93,-2.9,-40.84,77.11,5.17
565,"Calabozo, VE",56,48,8.92,-67.43,87.46,10.98
566,"Kabare, RW",88,100,-1.65,29.38,59.56,1.59
567,"Yokadouma, CM",32,90,3.52,15.05,73.29,2.15
568,"Jimeta, NG",36,87,9.28,12.44,73.24,2.93
569,"Kabo, CF",44,84,7.69,18.62,77.88,3.94
570,"Wanning, AT",0,67,48.64,13.53,57.2,3.36
571,"Vila, IT",0,72,45.18,8.4,64.4,8.05
572,"Paracuru, BR",40,88,-3.41,-39.03,80.6,4.7
573,"Conde, BR",88,90,-11.81,-37.61,77.16,8.97
574,"Markivka, UA",100,89,49.52,39.57,53.26,17.25
575,"Gizo, IL",40,82,31.8,34.94,62.6,11.41
576,"Nuuk, GL",48,100,64.17,-51.74,30.2,13.87
577,"Puerto del Rosario, ES",20,72,28.5,-13.86,64.4,8.05
578,"Gorom-Gorom, BF",0,21,14.45,-0.24,77.02,10.54
579,"Dahra, DZ",0,72,36.25,0.85,68.0,8.05
580,"Gamboula, CF",0,87,4.12,15.14,72.25,2.48
581,"Firozpur Jhirka, IN",0,35,27.79,76.95,67.3,8.41
582,"Kaliua, TZ",48,95,-5.06,31.79,65.46,1.92
583,"Lodja, CD",80,97,-3.52,23.6,72.03,2.37
584,"Elesbao Veloso, BR",76,76,-6.2,-42.14,78.1,7.18
585,"Vila Franca do Campo, PT",75,77,37.72,-25.43,62.6,5.82
586,"Rockport, US",90,83,28.02,-97.05,75.2,13.87
587,"Umba, RU",56,88,66.69,34.34,23.34,2.82
588,"Kijang, KR",75,88,35.24,129.21,66.2,2.24
589,"Capaci, IT",0,98,38.17,13.24,61.9,3.38
590,"New Norfolk, AU",0,59,-42.78,147.06,62.6,8.05
591,"Huarmey, PE",56,67,-10.07,-78.15,67.12,1.92
592,"Natal, BR",20,83,-5.81,-35.21,78.8,4.7
593,"George Town, MY",75,83,5.42,100.33,82.4,1.12
594,"Road Town, VG",1,74,18.42,-64.62,80.6,11.41
595,"Lamar, US",90,70,38.09,-102.62,46.4,9.17
596,"Tecoanapa, MX",5,79,16.99,-99.26,84.2,6.93
597,"Macenta, GN",8,97,8.55,-9.47,71.98,2.37
598,"Nabinagar, BD",75,88,23.88,90.97,78.8,3.36
599,"Melk, AT",0,86,48.23,15.34,52.09,2.15
600,"Nueva Loja, EC",88,98,0.08,-76.88,72.84,2.15
601,"Mersin, TR",0,36,36.81,34.63,60.8,12.75
602,"Tual, ID",68,100,-5.67,132.75,80.8,8.41
603,"Shevchenkove, UA",0,37,49.7,37.18,55.4,17.9
604,"Acari, BR",0,72,-6.44,-36.64,75.31,10.2
605,"Coahuayana, MX",0,30,18.62,-100.35,87.82,2.93
606,"Tabuk, PH",0,82,17.41,121.44,73.38,2.59
607,"Chama, ZM",0,69,-11.22,33.16,67.98,7.18
608,"Belvedere Marittimo, IT",0,98,39.62,15.86,60.55,2.59
609,"Nkhotakota, MW",68,88,-12.93,34.3,71.58,4.5
610,"Riyadh, SA",88,31,24.63,46.72,78.8,3.36
611,"Qaqortoq, GL",64,69,60.72,-46.03,37.4,4.7
612,"Araquari, BR",20,88,-26.37,-48.72,69.8,8.52
613,"Reigate, GB",20,93,51.24,-0.21,60.8,3.36
614,"Quimper, FR",0,100,48.0,-4.1,55.4,2.24
615,"Tuttlingen, DE",0,81,47.98,8.82,53.6,1.12
616,"Kipushi, CD",0,72,-11.76,27.24,57.09,5.73
617,"Pitea, SE",80,93,65.32,21.48,32.0,2.24
618,"Beira, ES",48,93,43.2,-8.36,55.4,5.82
619,"Kontagora, NG",68,72,10.4,5.47,79.41,6.4
620,"Hwange, ZW",92,48,-18.35,26.5,72.07,3.27
621,"Port Hardy, CA",75,75,50.7,-127.42,46.4,9.17
622,"Gunjur, GM",0,82,13.18,-16.76,66.2,11.41
623,"Puerto Escondido, MX",5,70,15.86,-97.07,86.0,10.29
624,"Sidi Bin Nur, TN",24,88,35.53,10.92,62.6,3.36
625,"Mount Gambier, AU",8,90,-37.83,140.78,56.64,3.38
626,"Nyimba, ZM",48,63,-14.56,30.81,72.79,6.17
627,"Cravo Norte, CO",48,70,6.3,-70.2,81.97,2.71
628,"Mundra, IN",0,81,22.84,69.73,76.48,11.54
629,"Nola, CF",12,92,3.52,16.05,72.66,2.04
630,"Samoded, RU",0,71,63.61,40.52,22.39,7.63
631,"Aquiraz, BR",40,88,-3.9,-38.39,80.6,4.7
632,"Orange Walk, JM",20,74,17.93,-76.27,82.4,16.11
633,"Suphan Buri, TH",0,80,14.47,100.12,82.24,8.08
634,"Kagadi, UG",76,100,0.95,30.8,73.56,6.62
635,"Terme, TR",40,100,41.21,36.97,39.2,2.24
636,"Devils Lake, US",1,54,48.11,-98.87,57.2,17.22
637,"Libreville, GA",40,88,0.39,9.45,78.8,9.17
638,"Ilorin, NG",56,87,8.5,4.55,76.98,7.85
639,"Port Blair, IN",0,100,11.67,92.75,84.63,3.04
640,"Shahe, CN",92,100,36.85,114.5,54.52,24.29
641,"Guarapari, BR",0,100,-20.67,-40.5,69.8,2.24
642,"Bukama, CD",0,75,-9.2,25.85,68.65,2.59
643,"Lethem, GY",76,97,3.38,-59.8,71.44,6.17
644,"Comodoro Rivadavia, AR",0,32,-45.87,-67.48,66.2,21.92
645,"Remanso, BR",80,100,-9.62,-42.08,76.89,13.22
646,"Alanya, TR",0,100,36.55,32.0,56.01,9.42
647,"Mizoch, UA",0,63,50.4,26.14,47.5,9.19
648,"Campos Altos, BR",36,83,-19.7,-46.17,64.06,4.27
649,"Krishnarajpet, IN",68,95,12.65,76.49,67.66,2.71
650,"Chiradzulu, MW",0,94,-15.7,35.18,62.13,2.93
651,"Kidal, ML",0,20,18.44,1.41,63.52,3.04
652,"Nieuw Amsterdam, SR",0,88,5.88,-55.08,78.8,4.7
653,"Tanete, ID",64,97,-3.94,119.78,77.88,3.6
654,"Plouzane, FR",0,87,48.38,-4.62,55.4,9.17
655,"Micheweni, TZ",56,100,-4.97,39.83,80.98,15.01
656,"Manicore, BR",64,94,-5.81,-61.3,78.06,1.92
657,"Arecibo, PR",5,88,18.47,-66.72,75.2,6.93
658,"Nakasongola, UG",64,98,1.32,32.46,64.74,4.61
659,"Chipinge, ZW",0,91,-20.19,32.62,62.08,2.37
660,"Bonavista, CA",92,87,48.65,-53.11,35.76,15.57
661,"Tame, CO",20,98,6.46,-71.72,59.92,0.81
662,"Lenger, KZ",0,57,42.18,69.89,51.8,6.71
663,"Dire Dawa, ET",64,94,9.59,41.86,60.51,4.72
664,"Calvinia, ZA",8,78,-31.47,19.78,42.24,2.37
665,"Chinsali, ZM",44,56,-10.55,32.07,67.26,7.52
666,"Hargeysa, SO",12,95,9.56,44.06,60.19,5.39
667,"Dinagat, PH",32,92,9.96,125.59,82.78,7.4
668,"Mana, RS",0,93,43.52,20.24,46.4,1.12
